Order,Column Name,Description,Values,Use
1,SchoolCode,The school entity ID number in the ADE Accountability database for which the student record is associated.,A School specific Unique numerical value,"Associates student Enrollment Records to Assessment Records for a given school year.
Used in School identification for Federal support in Federal Accountability
Letter Grades are assigned to SchoolCode in State Accountability."
2,SchoolName,Name of the school in the ADE Accountability  Database as of the current fiscal year,A name,
3,SchoolCTDS,"CTDS is an acronym for County Type District School. 
This number is 9 digits long and is unique to each school.",A School specific Unique numerical value,
4,DistrictCode,The LEA ID number in the ADE Accountability  database for which the student record is associated.,A District specific numerical value,Associates each LEA with the comprising Schools in order to assign district letter grades.
5,DistrictName,Name of the LEA in the ADE Accountability Database as of the current fiscal year,A name,
6,DistrictCTDS,"CTDS is an acronym for County Type District School. 
This number is 9 digits long and is unique to each district.",A District specific numerical value,
7,Charter,An indicator type column used to mark a school as charter in the ADE Accountability database.,"Binary Values:
0 = Not Charter
1 = Charter","The Charter column is used to group data in the public files, but is not factored into state or federal accountability calculations."
8,County,The county with which the student's enrollment record is associated.,A name,
9,AOI,An indicator type column used to mark a school as an Online school in the ADE Accountability database,"Binary Values:
0 = Not Online 
1 = Online",Differentiates Brick and Mortar Schools from Online Schools in order to calculate chronic Absenteeism for the associated student record.
10,Alternative,An indicator column used to mark a school as an approved Alternative School in the ADE Accountability database,"Binary Values:
0 = Not Alternative 
1 = Alternative","Diffrentiates Traditional from Alternative schools in order to determine the state Accountability model to use as well as how FAY is Calculated.

**For More Information: please reference the State Business Rules."
11,JTED,An indicator column used to mark a school as JTED in the ADE Accountability database,"Binary Values:
0 = Not JTED 
1 = JTED ",
12,Private,An indicator column used to mark a school as Private in the ADE Accountability database,"Binary Values:
0 = Public School
1 = Private School",
13,SchoolTypeS,Identifies Federal Schools from State Schools,,"Removed as it is no longer used in the code, This column will be depreciated for FY 2024."
